address,secondary_service,zip,city,website,primary_service,lng,phone,transportation,hours,restrictions,site_name,quadrant,state,lat
1118 9th Street,,20001,Washington,,Health Services,-77.024088,(202) 408-9835,Metro: Mt Vernon Square (Green/Yellow Line),"Mon-Fri, 9am-5pm",,Community Medical Care,NW,DC,38.904931
3715 2nd Street,,20032,Washington,http://www.communityofhopedc.org,Shelter/Transitional Housing,-77.003276,(202) 563-1060,"Bus: A2, A4, A8",,,Community of Hope (Hope Apartments),SE,DC,38.837314
1413 Girard St.,Support Services,20009,Washington,http://www.communityofhopedc.org,Shelter/Transitional Housing,-76.9852669,(202) 232-7356,"Metro: Columbia Heights(Green/Yellow Line) Bus: 52, 53, 54",,,Community of Hope Administrative Offices & Housing Program,NW,DC,38.926453
2250 Champlain Street,,20009,Washington,http://www.communityofhopedc.org,Health Services,-77.0408096,(202) 232-9022,"Metro: Dupont Circle (Red Line), U Street (Green/Yellow Line) Bus: L2, 90, 92, 93, 96","Mon, Wed, 8:30am-6pm. Tues, Thurs, 8:30am-8pm. Fri, 8:30am-4pm","Insurance Needed, otherwise based on a sliding scale. Medicaid/Medicare Accepted, Appointment Preferred",Community of Hope Health Services,NW,DC,38.9199551
1525 Levis St.,,20002,Washington,,Food/Grocery Services,-76.982075,,,,,Community United Methodist (SHARE site),NE,DC,38.904152
1905 E St.,Counseling,20003,Washington,http://dmh.dc.gov,Health Services,-77.0434912,(202) 673-9319,Metro: Stadium-Armory (Blue/Orange Line),"24 Hours, 7 Days a Week",Age 18+,Comprehensive Psychiatric Emergency Program (DC General Hospital Compound),SE,DC,38.8959865
801 Pennsylvania Ave,,20003,Washington,http://www.community-partnership.org,Shelter/Transitional Housing,-76.994677,(202) 543-5298,Metro: Eastern Market (Blue/Orange Line),,Does Not Provide Direct Service,Community Partnership for the Prevention of Homelessness,SE,DC,38.883696
3720 Martin Luther King Jr. Ave,,20032,Washington,http://www.unityhealthcare.org,Health Services,-77.006345,(202) 279-1801,"Bus: A8, W4, M8","Mon-Fri, 8:15am-4:45pm",,Congress Heights Health Center,SE,DC,38.837021
"
3215 Martin Luther King Jr. Ave",,20032,Washington,http://www.chtcdc.com,Job Training/Adult Education Services,-77.001326,(202) 563-5200,Metro: Congress Heights (Green Line),"Mon-Thurs, 8am-5pm",,Congress Heights Trading Center,SE,DC,38.843067
"
400 North Capitol Street",DC Public,20001,Washington,http://www.hungercenter.org,Food/Grocery Services,-77.009182,(202) 547-7022,Metro: Union Station (Red Line),"Mon-Fri, 9am-5pm",Does Not Provide Direct Service,Congressional Hunger Center,NW,DC,38.895459
903 Division St.,,20019,Washington,,Food/Grocery Services,-76.923997,,,,,Contee AME Zion (SHARE site),NE,DC,38.9018609
1630 Euclid Street,,20009,Washington,,Teen/Youth Programs,-77.0372779,,,,,COOL Kids,NW,DC,38.9232053
1400 20th Street,financing/ affordable housing,20036,Washington,http://www.cornerstonedc.org,Shelter/Transitional Housing,-77.044866,(202) 347-7808,Bus: L2,"Mon-Fri, 9am-5pm",Does Not Provide Direct Service,Cornerstone,NW,DC,38.908934
1601 T St.,,20020,Washington,,Food/Grocery Services,-77.0365659,,,,,Cornerstone Bible Church (SHARE site),SE,DC,38.9155945
"
3845 South Capitol 

",,20032,Washington,http://covenantbaptistdc.webs.com,Food/Grocery Services,-77.0081015,(202) 562-5576,Bus: A8,"Thurs, 9:30am-12:30pm","Identification Required, Ward 8",Covenant Baptist Church,SW,DC,38.8346931
2001 Mississippi Ave,Comprehensive service provider,20020,Washington,http://www.covenanthousedc.org,Shelter/Transitioal Housing,-76.9752359,(202) 610-9600,"Bus: W2, 92",,Youth,"Covenant House-(Administrative, Volunteer, Community, Residential, Peer-Supported Pregnancy Prevention Program)",SE,DC,38.8438909
7 New York Avenue,,20002,Washington,http://www.covenanthousedc.org,Comprehensive Service Provider,-77.008239,(202) 610-9514,Metro: New York Ave (Red Line),,Youth,Covenant House- Community Outreach Center,NE,DC,38.907388
1235 Kenilworth Avenue,,20019,Washington,http://www.covenanthousedc.org,Job Training/Adult Education Services,-76.938062, (202) 610-6518 ,Metro: Deanwood (Orange Line),,Youth,Covenant House- Artisans Woodshop,NE,DC,38.906796
4914 Ayers Place,,20019,Washington,http://www.covenanthousedc.org,Teen/Youth Programs,-76.9315044,(202) 610-7530,Metro: Benning Road (Blue Line),,Youth,Covenant House- Teen Life Choices,SE,DC,38.8889151
"
515 5th St 
",DC Public,20001,Washington,http://www.dccourts.gov,Legal Services,-77.0189174,(202)- 879-4216,Metro: Judiciary Square (Red Line),"Mon-Fri, 8:30am-5pm",Victims of Crime,Crime Victim's Compensation Program (DC Superior Court),NW,DC,38.896311
800 I St.,,20002,Washington,,Food/Grocery Services,-77.023291,,,,,Crusaders Baptist Church (SHARE site),NE,DC,38.900659
3149 16th St,DC Public,20010,Washington,,Teen/Youth Programs,-77.036374,,,,,D.C. Department of Parks and Recreation,NW,DC,38.930124
1800 Anacostia Drive,,20020,Washington,,Teen/Youth Programs,-76.982467,,,"Mon-Fri, 9am-6pm",,D.C. Department of Parks and Recreation: Youth Development Division/Roving Leaders Program,SE,DC,38.872776
17th & Benning Rd,Women's Health/Family Services,20002,Washington,,Health Services,18.1810473,,,,,DC Birthing Center (Mobile Unit)(WIC ENROLLMENT SITES/AGENCIES ),NE,DC,43.791979
1156 15th St.,,20005,Washington,http://www.dccare.org,Counseling Services,-77.034684,(202) 223-9550,"Metro: Farragut North (Red Line), McPherson Square (Blue/Orange Line)",,HIV/AIDS,DC Care Consortium,NW,DC,38.90542
1400 Florida Ave,legal services,20002,Washington,http://www.dccil.org,Counseling Services,-76.984064,(202) 388-0033,Metro: Minnesota Ave (Orange Line) Bus: X2,"Mon-Fri, 9am-5pm",Disability,DC Center for Independent living,NE,DC,38.900511
425 2nd street,Meal Programs,20001,Washington,http://www.dccentralkitchen.org,Job Training/Adult Education Services,-77.003426,(202) 234-0707,Metro: Judiciary Square (Red Line),,,DC Central Kitchen,NW,DC,38.895596
1309 5th Street,,20002,Washington,,Farmers Market,-77.017667,,Metro: New York Ave (Red Line),"Tues-Thurs, 7am-5:30pm. Fri-Sat, 7am-6:30pm. Sun, 7am-2pm",,DC Farmers Market,NE,DC,38.907927
1900 Massachusetts Ave,Women's Health/Family Services,20003,Washington,,Health Services,-77.0442289,,,,,DC General Hospital(WIC ENROLLMENT SITES/AGENCIES ),SE,DC,38.909813
"
1612 K Street",,20006,Washington,http://www.dclearns.org,Job Training/Adult Education Services,-77.037526,(202) 331-0141 ,"Metro: Farragut North (Red Line), Farragut West (Blue/Orange Line)",,,DC Learns,NW,DC,38.902161
1301 Belmont St.,Disability Equipment,20009,Washington,,Health Services,-77.030009,(202) 332-2595,Metro: U Street (Green/Yellow Line),"Mon-Fri, 10am-6pm",,DC Shares,NW,DC,38.921239
1118 48th Street,,20019,Washington,,Community Garden,-76.9337748,,,,,Deanwood Garden,NE,DC,38.9052501
1400 Florida Ave,Affordable/Transitional Housing,20002,Washington,,Senior Services,-76.984064,(202) 398-1303,Bus: D8,"Mon-Fri, 8:30am-4pm","Seniors, Disabled",Delta Towers,NE,DC,38.900511
503 Rock Creek Church Rd,Meals,20010,Washington,http://www.catholicworker.org,Shelter/Transitional Housing,-77.019315,(202) 882-9649,Metro: Georgia Ave-Petworth (Green/Yellow Line) Bus: H8,"7 Days a Week, 24 Hours. Food and Clothing: Wed, 9am-11am","Mothers, Children",Dorothy Day Catholic Worker,NW,DC,38.937546
926 11th St.,Meals,20002,Washington,http://www.dcgeriatricdaycenter.org,Senior Services,-76.9915129,(202) 347-7527,Metro: Metro Center (Red/Blue/Orange Line),"Mon-Fri, 7:45am-5:45pm","DC Resident, Seniors","Downtown Cluster's Geriatric Day Care Center, Inc.",NW,DC,38.8788721
20th and Q St.,,20009,Washington,http://www.freshfarmmarket.org,Farmers Market,-77.0448739,(202) 362-8889,Metro: Dupont Circle (Red Line),"Sun, 9am-1pm",Accepts WIC and SFMNP,Dupont Circle FreshFarm Market,NW,DC,38.9111264
896 Southern Ave,Housing,20032,Washington,,Senior Services,-76.989974,(202) 562-1365,,"Mon-Fri, 10am-2pm",Seniors,Dupont Park,SE,DC,38.83048
770 M St,Women's Health/Family Services,20003,Washington,,Health Services,-76.995574,,,,,Eagle Academy (Mobile Unit)(WIC ENROLLMENT SITES/AGENCIES ),SE,DC,38.877003
3732 Minnesota Avenue,,20019,Washington,http://www.erfsc.org,Comprehensive Service Provider,-76.952404,(202) 397-7300,Metro: Minnesota Ave (Orange Line) Bus: U5,"Mon-Fri, 8:30am-5pm",Ward 7,East of the River Family Strengthening Collaborative,NE,DC,38.891266
123 45th St.,Women's Health/Family Services,20019,Washington,,Health Services,-76.93774,,,,,East of the River(WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.8916269
2800 13th Street,Counseling Services,20009,Washington,http://gwbr.easterseals.com,Women's Health/Family Services,-77.030193,(202) 387-4434,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 7am-6pm","DC Resident, Children",Easter Seals Child Development Center,NW,DC,38.926038
225 7th St.,,20003,Washington,http://www.easternmarketdc.com,Farmers Market,-77.02188,,Metro: Eastern Market (Blue/Orange Line),"Sat-Sun, 7am-4pm",,Eastern Market Outdoor Farmers Market,SE,DC,38.8933692
611 Edgewood St.,,20017,Washington,,Senior Services,-76.998914,(202) 832-8266,"Bus: D8, H8, G8","Mon-Fri, 10am-2pm",Seniors,Edgewood Terrace #1,NE,DC,38.922696
1345 Saratoga Ave.,,20018,Washington,http://www.ebfsc.org,Women's Health/Family Services,-76.986752,(202) 832-9400,Metro: Rhode Island Ave-Brentwood (Red Line),"Mon-Fri, 9am-4:30pm",Wards 5 and 6,Edgewood/Brookland Family Support Collaborative,NE,DC,38.92174
1233 20th St.,,20036,Washington,,Job Training/Adult Education Services,-77.044909,(202) 741-4730,Metro: Dupont Circle (Red Line),"Mon-Fri, 8am-5pm",Age 19+,Educational Opportunity Center (EOC),NW,DC,38.90658
Georgia Ave. and Madison St.,,20011,Washington,,Community Garden,-77.028235,,,,,Emery Garden,NW,DC,38.958351
1725 Lincoln Rd,,20002,Washington,http://www.dccfh.org,Shelter/Transitional Housing,-77.008311,"(202) 635-1041
","Bus: 92, 90, 80",,"Homeless, Men",Emery Shelter,NE,DC,38.9132971
2409 Ainger Place,,20020,Washington,,Food/Grocery Services,-76.971239,,,,,Emmanuel Baptist (SHARE site),SE,DC,38.857282
1226 Vermont Avenue,,20005,Washington,,Senior Services,-77.031528,,,,,Emmaus Senior Services for the Aging: Aging Senior Center,NW,DC,38.906951
1426 9th St.,,20001,Washington,http://www.emmausservices.org,Senior Services,-77.024197,(202) 745-1200,Bus: G8,"Mon-Fri, 7:30am-5:30pm","Seniors, Low Income",Emmaus Services for the Aging,NW,DC,38.909381
1842 Calvert Street,`,20009,Washington,http://www.eofula.org,Senior Services,-77.044391,(202) 483-5800,,"Mon-Fri, 8:30am-5pm. Breakfast: 9am. Lunch: 12pm","Seniors, Hispanic",Eofula-Spanish Senior Center (Educational Organization for United Latin Americans),NW,DC,38.923062
7603 Georgia Ave.,,20012,Washington,http://www.ethiopianamerican.org,Job Training/Adult Education Services,-77.02614,(202) 726-0800,"Bus: 70, 71, 79, K1 ","Mon-Fri, 9am-5pm",Ethiopian,Ethiopian Community Center,NW,DC,38.98193
3200 22nd St.,,20018,Washington,,Food/Grocery Services,-76.9744879,,,,,Evangel Missionary Baptist (SHARE site),NE,DC,38.930532
901 Rittenhouse St.,,20011,Washington,,Food/Grocery Services,-77.0263,,,,,Exodus Missionary Baptist Church (SHARE site),NW,DC,38.965228
2465 Alabama Ave.,,20020,Washington,,Food/Grocery Services,-76.969611,,,,,Faith Tabernacle of Prayer for All People (SHARE site),SE,DC,38.854664
2041 Martin Luther King Jr. Ave,,20020,Washington,,Counseling Services,-76.989791,(202) 889-7900,"Bus: P2, B2, 90","Mon-Fri, 9am-5pm",,Family and Medical Counseling Services,SE,DC,38.865909
"
500 Indiana Avenue

",Counseling Services,20001,Washington,http://www.dccourts.gov,Legal Services,-77.018977,(202) 879-1471,"Metro: Judiciary Square (Red Line), Archives (Green/Yellow Line)","Mon-Fri, 8:30am-5pm",,Family Court Self-Help Center (Moultrie Courthouse),NW,DC,38.894198
3309 16th Street,Education,20010,Washington,http://www.thefamilyplacedc.org,Women's Health/Family Services,-77.036001,(202) 265-0149,"Bus: H8, S4, 54","Mon-Fri, 9am-5pm",Pregnant Women or with Children Age 0-5. Low Income,Family Place,NW,DC,38.931918
1438 Rhode Island Ave.,HIV/AIDS,20018,Washington,http://www.familytiesproject.org,Women's Health/Family Services,-76.984421,(202) 547-3349,Metro: Capitol South (Blue/Orange Line),"Mon-Fri, 9am-5pm",,Family Ties Project,NE,DC,38.925474
"2041 Martin Luther King, Jr. Ave.",,20020,Washington,http://www.fsfsc.org,Comprehensive Service Provider,-76.989791,(202) 889-1425,Metro: Anacostia (Green Line). Bus: W6,"Mon-Fri, 8:30am-5pm",Ward 8,Far Southeast Family Strengthening Collaborative,SE,DC,38.865909
19 Eye Street,,20001,Washington,http://www.fathermckennacenter.org,Comprehensive Service Provider,-77.0329375,(202) 842-1112   ,Bus: 80,"Lunch: Mon-Fri, 12pm-1pm. Dinner: Wed, 6pm",Men,Father McKenna Center,NW,DC,38.9014973
1008 45th St.,,20019,Washington,,Food/Grocery Services,-76.937999,,,,,First Baptist of Deanwood (SHARE site),NE,DC,38.90312
4934 B St.,,20019,Washington,,Food/Grocery Services,-76.9312549,,,,,First Baptist of Marshall Heights (SHARE site),SE,DC,38.887278
715 Randolph St.,,20011,Washington,,Senior Services,-76.994521,(202) 723-4313,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon-Fri, 9am-5pm","Seniors, DC Resident, Low Income ",First Baptist Senior Center,NW,DC,38.939223
27th St. and Dumbarton St.,,20007,Washington,,Food/Grocery Services,-77.0558206,,,,,First Baptist-Georgetown (SHARE site),NW,DC,38.9077067
3440 Minnesota Ave,,20019,Washington,,Food/Grocery Services,-76.956653,,,,,First Baptist-Minnesota Ave (SHARE site),SE,DC,38.885709
1800 E street,Mobile services,20006,Washington,http://dccentralkitchen.org,Meal Programs,-77.042575,(202) 438-5035,Metro: Farragut West (Blue/Orange Line),"Mon-Fri, 8:15am-9:15am",,First Helping Outreach- DC Central Kitchen,NW,DC,38.894748
Division Ave and Foote St.,Mobile services,20019,Washington,http://dccentralkitchen.org,Meal Programs,-76.939798,(202) 439-8282, Bus: U8,"Mon-Fri, 10:30am-11:15am",,First Helping Street Outreach- DC Central Kitchen,NE,DC,38.897712
3924 Minnesota Ave,Mobile services,20019,Washington,http://dccentralkitchen.org,Meal Programs,-76.951045,"(202) 439-8282
",Bus: X2,"Mon-Fri, 8:30am-10:15am",,First Helping Street Outreach- DC Central Kitchen (Chartered Health parking lot),NE,DC,38.893822
4635 South Capitol St.,Mobile services,20001,Washington,http://dccentralkitchen.org,Meal Programs,-77.0051772,"(202) 439-8282
",Bus: NH1,"Mon-Fri, 8:30am-9:15am",,First Helping Street Outreach- DC Central Kitchen (Rite Aid parking lot),SE,DC,38.8234057
5400 D St.,,20019,Washington,,Food/Grocery Services,-76.923843,,,,,First National Deliverance Center (SHARE site),SE,DC,38.883212
4323 Bowen Rd.,,20019,Washington,,Food/Grocery Services,-76.936502,,,,,First United Methodist Church of Bradbury Heights (SHARE site),SE,DC,38.87275
111 Michigan Ave,Child Care,20010,Washington,http://www.childrensnational.org,Health Services,-77.0060217,(202) 476-5000   ,"Bus: H1, H2, H3, H4, ",,,"Fit Family, Children's National Medical Center",NW,DC,38.9270868
24th St. and New Hampshire Ave.,,20052,Washington,http://www.freshfarmmarket.org,Farmers Market,-77.0514418,(202) 362-8889,Metro: Foggy Bottom-GWU (Blue/Orange Line),"Wed, 2:30pm-7pm",Accepts WIC and SFMNP,Foggy Bottom FreshFarm Market,NW,DC,38.901095
1920 G St.,,20006,Washington,http://www.theunitedchurch.org,Food/Grocery Services,-77.044684,(202) 331-1495,Metro: Farragut West (Blue/Orange Line),"2nd and 4th Sat, 10am-12pm","Identification Required, DC Resident",Foggy Bottom Food Pantry,NW,DC,38.898189
219 Riggs Rd.,Mobile services,20011,Washington,http://www.foodandfriends.org,Meal Programs,-77.002927,(202) 269-2277,Metro: Fort Totten (Red/Green/Yellow Line),"Mon-Thurs, 8am-5pm. Fri, 8am-2pm","Referral Required, Chronic Illness",Food And Friends,NE,DC,38.955913
1810 16th St.,Mobile services,20009,Washington,http://foodforalldc.org,Food/Grocery Services,-77.035897,,"Metro: Dupont Circle (Red Line), U Street (Green/Yellow Line)","Sat, 9am",Volunteers,Food For All,NW,DC,38.912708
1500 Harvard St,,20009,Washington,http://www.cancerproject.org,Job Training/Adult Education Services,-77.0368741,(202) 244-5038,Metro: Columbia Heights (Green/Yellow Line),,,Food for Life Cooking Classes,NW,DC,38.9261885
2100 Martin Luther King Ave,,20020,Washington,http://dhs.dc.gov,Food/Grocery Services,-76.9890099, 	(202) 645-4614,"Metro: Anacostia (Green Line) Bus: U2, 90, P6 ","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office Anacostia,SE,DC,38.865379
4001 South Capitol St.,,20032,Washington,http://dhs.dc.gov,Food/Grocery Services,-77.0077465,(202) 645-4546,"Bus: M8, M9, A8","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office Congress Heights,SW,DC,38.8313932
51 N St.,,20002,Washington,http://dhs.dc.gov,Food/Grocery Services,-77.0109062,	(202) 724-8720,Metro: New York Ave (Red Line),"Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office Eckington,NE,DC,38.9072548
3851 Alabama Avenue,,20020,Washington,http://dhs.dc.gov,Food/Grocery Services,-76.949999, 	(202) 645-4500,"Bus: W4, M6","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office Fort Davis,SE,DC,38.866105
645 H Street,,20002,Washington,http://dhs.dc.gov,Food/Grocery Services,-76.997309,(202) 698-4350,"Bus: X2, D8","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office H Street,NE,DC,38.899717
3917 Minnesota Ave,,20019,Washington,http://dhs.dc.gov,Food/Grocery Services,-76.948482,(202) 724-7900,Metro: Minnesota Ave (Orane Line),"Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office Northeast Service Center,NE,DC,38.893716
1207 Taylor Street,,20011,Washington,http://dhs.dc.gov,Food/Grocery Services,-76.989643,(202) 576-8000,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",Low Income,Food Stamp Office Taylor Street,NW,DC,38.940423
1763 Columbia Road,,20009,Washington,http://www.flocdc.org,Teen/Youth Programs,-77.040342,(202) 462-8686,Bus: L2,"Mon-Fri, 9am-5pm",Children,For Love of Children,NW,DC,38.924247
Fort Dupont Dr. and Fort Davis Dr.,,20019,Washington,,Community Garden,-76.9487955,,,,,Fort Dupont Park Gardens,SE,DC,38.8761885
Belt Road and Chesapeake St.,,20016,Washington,,Community Garden,-77.097357,,,,,Fort Reno Garden,NW,DC,38.950664
13th St. and Fort Stevens Dr.,,20011,Washington,,Community Garden,-77.030046,,,,,Fort Stevens Garden,NW,DC,38.964382
1500 16th St.,Clothing,20036,Washington,http://www.foundryumc.org,Food/Grocery Services,-77.036993,(202) 332-4010,"Metro: Dupont Circle (Red Line) Bus: S1, S2, S4","Fri, 9am-12pm",,Foundry United Methodist Church,NW,DC,38.910047
3660 Alabama Avenue,,20020,Washington,,Library,-76.954379,,,,,Francis A. Gregory Library,SE,DC,38.864857
1519 U St.,,20009,Washington,,Food/Grocery Services,-77.035607,,,,,Freedom Baptist Church (SHARE site),NW,DC,38.917215
45th St. and Van Ness St.,,20016,Washington,,Community Garden,-77.0877877,,,,,Friendship Garden,NW,DC,38.9431557
"619 D Street 
",,20003,Washington,http://friendshiphouse.net,Comprehensive Service Provider,-76.9961387,(202) 675-9050,Metro: Eastern Market (Blue/Orange Line),"Mon-Fri, 7am-6pm","Children, Families, Seniors",Friendship House,SE,DC,38.8947642
1327 Van Buren St.,,20012,Washington,,Teen/Youth Programs,-77.0332847,(202) 541-3754,"Bus: 52, 53, 54","Mon-Fri, 2:30pm-9pm. Sat, 10am-4pm",,Ft. Stevens Recreation Center,NW,DC,38.9699478
2301 11th St.,Housing,20001,Washington,,Senior Services,-77.0270166,(202) 673-7452,"Bus: 66, 94","Mon-Fri, 8:15am-4:45pm","Seniors, Disabled",Garfield Terrace,NW,DC,38.9207741
111 F St.,Counseling,20001,Washington,http://www.law.georgetown.edu,Legal Services,-77.0046339,(202) 662-9640,Metro: Judiciary Square (Red Line),,Victims of Domestic Violence,Georgetown Domestic Violence Clinic,NW,DC,38.8973393
3307 M Street,,20007,Washington,,Library,-77.066729,,,,,Georgetown Library,NW,DC,38.90518
1104 Allison Street,Referrals,20011,Washington,http://www.dccollaboratives.org,Women's Health/Family Services,-77.026838,(202) 722-1815,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon-Fri, 9am-5:30pm",,Georgia Avenue/Rock Creek East Family Support Collaborative,NW,DC,38.944873
1041 Wisconsin Avenue,Counseling Services,20007,Washington,http://www.georgetownministrycenter.org,Shelter/Transitional Housing,-77.062268,(202) 338-8301,"Bus: 32, 34, 36, 38B","Counseling/Referrals: Mon-Fri, 10am-2pm. Shelter: Nov-Apr, 7 Days a Week, 7pm-7am",Homeless,Gerogetown Ministry Center,NW,DC,38.903667
5119 4th St.,,20011,Washington,,Food/Grocery Services,-77.017068,,,,,Gethsemane Baptist (SHARE site),NW,DC,38.952901
1500 Massachusetts Ave,,20005,Washington,,Food/Grocery Services,-77.035167,,,,,Glory Tabernacle (SHARE site),NW,DC,38.90648
42nd St. and New Mexico Ave.,,20016,Washington,,Community Garden,-77.0813206,,,,,Glover Archbold Garden,NW,DC,38.9259876
2200 South Dakota Ave.,,20018,Washington,http://www.dcgoodwill.org,Job Training/Adult Education Services,-76.958355,(202) 636-4225,"Bus: B2, H6","Mon-Fri, 9am-6:30pm",,Goodwill of Greater Washington,NE,DC,38.9200663
810 5th Street,Outreach Center,20001,Washington,www.grm.org,Shelter/Transitional Housing,-77.019219,(202) 842-1731,"Metro: Gallery Place-Chinatown (Red, Green, Yellow Line) Bus: P6, X2, 80, 70, 71, 79, D6","24 Hours, 7 Days a Week",Homeless,Gospel Rescue Ministries,NW,DC,38.900331
4417 Dix St.,,20019,Washington,,Food/Grocery Services,-76.937836,,,,,Grace Apostolic Church (SHARE site),NE,DC,38.894298
2407 Minnesota Ave.,,20020,Washington,,Food/Grocery Services,-76.972219,,,,,Grace Memorial Baptist (SHARE site),SE,DC,38.8727097
605 Rhode Island Ave.,Women's Health/Family Services,20002,Washington,,Health Services,-76.997689,,,,,Greater Mt. Calvery Holy Church(WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.9203789
1818 Gales St.,,20002,Washington,,Food/Grocery Services,-76.977067,,,,,Greater Mt. Pisgah Baptist (SHARE site),NE,DC,38.898337
"2900 Newton Street,",,20018,Washington,http://www.gwul.org,Senior Services,-76.966386,(202) 529-8701,"Bus: 83,, 84, T18","Mon-Fri, 9am-5pm","Seniors, Ward 5","Greater Washington Urban League, Aging Division (NE)",NE,DC,38.934367
2041 Martin Luther King Jr. Ave,,20020,Washington,http://www.gwul.org,Senior Services,-76.989791,(202) 610-6103,"Bus: P2, B2, 90","Mon-Fri, 9am-5pm","Seniors, Ward 8","Greater Washington Urban League, Aging Division (SE)",SE,DC,38.865909
2901 14th St.,,20009,Washington,http://www.gwul.org,Job Training/Adult Education Services,-77.0323888,(202) 265-8200,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 9am-5pm",,Greater Washington Urban League/ Job Search Center,NW,DC,38.9265581
1221 Taylor St.,Mental Health,20011,Washington,http://www.greendoor.org,Health Services,-76.9898182, (202) 464-9200,"Metro: Georgia Ave-Petworth (Green/Yellow Line). Bus: 60, 62, 70, 71",,Adults with Mental Illness,Green Door,NW,DC,38.9407071
2412 Franklin St.,Housing,20018,Washington,,Senior Services,-76.971384,(202) 635-0286,"Bus: B8, 86, H6","Mon-Fri, 10am-2pm",Seniors,Green Valley Apartments,NE,DC,38.92621
501 H St.,DC Public,20002,Washington,http://www.hstreetcdc.org,Teen/Youth Programs,-76.999115,(202) 544-8353,Bus: X2,Mon-Fri,"Students, Must have a B average to participate",H Street Community Development Corporation (Summer Youth Initiative),NE,DC,38.899971
624 H St.,,20002,Washington,,Farmers Market,-76.9974855,,,,,H Street Farmer's Market (FRESHFARM),NE,DC,38.9002227
843 Upshur Street,,20011,Washington,http://www.dchabitat.org,Shelter/Transitional Housing,-77.024602,(202) 882-4600,"Metro: Capitol Heights (Blue Line). Bus: 96, 97",,Low Income,Habitat for Humanity,NW,DC,38.942131
4605 MLK Jr Ave,Women's Health/Family Services,20032,Washington,,Health Services,-77.0363658,,,,,Hadley Memorial Hospital(WIC ENROLLMENT SITES/AGENCIES ),SW,DC,38.8951118
1900 Massachusetts Ave,Dinner Program,20003,Washington,http://www.catholiccharitiesdc.org,Shelter/Transitional Housing,-77.0442289,(202) 547-1924,Metro: Stadium-Armory (Blue/Orange Line),"7 Days a Week, 7pm-7am","Women, Homeless, Age 18+",Harriet Tubman Women's Shelter,SE,DC,38.909813
1845 Harvard St.,Housing,20009,Washington,,Senior Services,-77.0426559,(202) 673-7618,"Bus: H2, H4, DC Circulator","Mon-Fri, 10am-2pm",Seniors,Harvard Towers,NW,DC,38.928051
1352 W St.,,20020,Washington,,Food/Grocery Services,-77.0313583,,,,,HAYLO Inc. (SHARE site),SE,DC,38.9191678
801 17th St.,Job Training,20002,Washington,http://www.healthybabiesproject.org,Women's Health/Family Services,-77.039255,(202) 396-2809,Bus: X8,"Mon-Fri, 9am-5:45pm",DC Resident,Healthy Babies Project,NE,DC,38.90051
602 N St.,,20001,Washington,,Food/Grocery Services,-77.0199624,(202) 289-4480,Metro: Mt Vernon Square (Green/Yellow Line),"Every Other Tues, 10am-2pm",Eligible for Food Stamps,Helping Hands Food Distrubution,NW,DC,38.9072161
3211 Pine Street,Meal Programs,20010,Washington,http://www.catholiccharitiesdc.org,Shelter/Transitional Housing,-77.0363982,(202) 246-6643,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 7:30am-4pm",Homeless,Hermano Pedro Day Shelter,NW,DC,38.9307057
17th St. and D. St.,,20003,Washington,,Community Garden,-77.0394643,,,,,Hill East Community Garden,SE,DC,38.8943387
220 6th St.,,20004,Washington,,Community Garden,-77.0199462,,,,,Hilton Garden,NE,DC,38.8928649
1357 E Capitol St,,20003,Washington,,Food/Grocery Services,-76.986192,,,,,Holy Comforter/St. Cyprian (SHARE site),SE,DC,38.889392
920 11th St.,,20002,Washington,,Food/Grocery Services,-76.9915126,,,,,Holy Name Catholic (SHARE site),NE,DC,38.8789109
206 New York Ave,,20001,Washington,,Food/Grocery Services,-77.0045586,,,,,Holy Redeemer Catholic (SHARE site),NW,DC,38.9089903
439 12th St.,,20003,Washington,,Food/Grocery Services,-77.0281571,,,,,Holy Temple Church (SHARE site),SE,DC,38.8847601
1110A-6th St.,women's health/ family services,20002,Washington,http://www.houseofimagene.org,Shelter/Transitional Housing,-77.0199217,(202) 518-8488,Metro: New York Ave (Red Line),,"Women, Victims of Domestic Violence",House of Imagene,NE,DC,38.9045399
